Date,Grocery.Item,Quantity.Sold,Location,Day,Month,Weather
2024-01-01,Bananas,41,New York,1,01,Snowy
2024-01-01,Apples,30,New York,1,01,Snowy
2024-01-01,Milk,28,New York,1,01,Snowy
2024-01-01,Bread,34,Boston,1,01,Snowy
2024-01-01,Eggs,34,Boston,1,01,Snowy
2024-01-01,Orange Juice,26,Boston,1,01,Snowy
2024-01-01,Rice,78,Philadelphia,1,01,Snowy
2024-01-01,Chicken,31,Philadelphia,1,01,Snowy
2024-01-01,Hot Chocolate,107,New York,1,01,Snowy
2024-01-01,Soup,69,New York,1,01,Snowy
2024-01-01,Breadsticks,27,Boston,1,01,Snowy
2024-01-01,Potatoes,46,Philadelphia,1,01,Snowy
2024-01-01,Beef,50,Philadelphia,1,01,Snowy
2024-01-01,Cheese,36,New York,1,01,Snowy
2024-01-01,Yogurt,14,Philadelphia,1,01,Snowy
2024-01-01,Butter,21,Boston,1,01,Snowy
2024-01-01,Cereal,27,New York,1,01,Snowy
2024-01-01,Pasta,28,Philadelphia,1,01,Snowy
2024-01-01,Tomatoes,43,New York,1,01,Snowy
2024-01-01,Onions,31,Boston,1,01,Snowy
2024-01-01,Flour,12,Philadelphia,1,01,Snowy
2024-01-01,Sugar,28,New York,1,01,Snowy
2024-01-01,Salt,12,Boston,1,01,Snowy
2024-01-01,Pepper,17,Philadelphia,1,01,Snowy
2024-01-01,Olive Oil,13,New York,1,01,Snowy
2024-01-01,Vinegar,7,Boston,1,01,Snowy
2024-01-01,Honey,20,Philadelphia,1,01,Snowy
2024-01-01,Jam,19,New York,1,01,Snowy
2024-01-01,Peanut Butter,26,Boston,1,01,Snowy
2024-01-01,Almonds,15,Philadelphia,1,01,Snowy
2024-01-01,Soft Drinks,12,New York,1,01,Snowy
2024-01-01,Bell Peppers,22,Boston,1,01,Snowy
2024-01-01,Cake Mixes,23,Philadelphia,1,01,Snowy
2024-01-01,Carrots,28,New York,1,01,Snowy
2024-01-01,Cooking Oil,21,Boston,1,01,Snowy
2024-01-01,Spinach,41,Boston,1,01,Snowy
2024-01-01,Lettuce,13,Philadelphia,1,01,Snowy
2024-01-01,Ice Cream,7,Boston,1,01,Snowy
2024-01-02,Bananas,15,New York,2,01,Snowy
2024-01-02,Apples,55,New York,2,01,Snowy
2024-01-02,Milk,13,New York,2,01,Snowy
2024-01-02,Bread,17,Boston,2,01,Snowy
2024-01-02,Eggs,51,Boston,2,01,Snowy
2024-01-02,Orange Juice,2,Boston,2,01,Snowy
2024-01-02,Rice,71,Philadelphia,2,01,Snowy
2024-01-02,Chicken,93,Philadelphia,2,01,Snowy
2024-01-02,Hot Chocolate,30,New York,2,01,Snowy
2024-01-02,Soup,54,New York,2,01,Snowy
2024-01-02,Breadsticks,43,Boston,2,01,Snowy
2024-01-02,Potatoes,45,Philadelphia,2,01,Snowy
2024-01-02,Beef,9,Philadelphia,2,01,Snowy
2024-01-02,Cheese,4,New York,2,01,Snowy
2024-01-02,Yogurt,13,Philadelphia,2,01,Snowy
2024-01-02,Butter,8,Boston,2,01,Snowy
2024-01-02,Cereal,20,New York,2,01,Snowy
2024-01-02,Pasta,20,Philadelphia,2,01,Snowy
2024-01-02,Tomatoes,19,New York,2,01,Snowy
